query_flight_iata,airline_name,departure_airport,departure_iata,departure_scheduled,arrival_airport,arrival_iata,arrival_scheduled,flight_status
OM297,MIAT Mongolian Airlines,New Ulaanbaator International Airport,UBN,2026-08-16T06:20:00+00:00,Hong Kong International,HKG,2026-08-16T10:55:00+00:00,landed
OM2972,MIAT Mongolian Airlines,Hong Kong International,HKG,2026-08-15T18:30:00+00:00,New Ulaanbaator International Airport,UBN,2026-08-15T23:10:00+00:00,landed
OM2971,MIAT Mongolian Airlines,New Ulaanbaator International Airport,UBN,2026-08-15T12:55:00+00:00,Hong Kong International,HKG,2026-08-15T17:30:00+00:00,landed
CX806,Cathay Pacific,Hong Kong International,HKG,2026-08-16T12:10:00+00:00,Chicago O'hare International,ORD,2026-08-16T14:20:00+00:00,active
CX801,MIAT Mongolian Airlines,Chicago O'hare International,ORD,2026-08-15T16:00:00+00:00,Hong Kong International,HKG,2026-08-16T21:00:00+00:00,active
ZH9096,Cathay Pacific,Hong Kong International,HKG,2026-08-16T12:30:00+00:00,Wuxi,WUX,2026-08-16T15:00:00+00:00,landed
ZH9095,Shenzhen Airlines,Wuxi,WUX,2026-08-16T08:40:00+00:00,Hong Kong International,HKG,2026-08-16T11:25:00+00:00,landed
UO214,Cathay Pacific,Hong Kong International,HKG,2026-08-16T16:15:00+00:00,Wuxi,WUX,2026-08-16T18:45:00+00:00,landed
UO215,HK express,Wuxi,WUX,2026-08-16T19:45:00+00:00,Hong Kong International,HKG,2026-08-16T22:20:00+00:00,active
CX952,Cathay Pacific,Hong Kong International,HKG,2026-08-16T12:45:00+00:00,Zhengzhou,CGO,2026-08-16T15:20:00+00:00,landed
CX957,Cathay Pacific,Zhengzhou,CGO,2026-08-16T16:30:00+00:00,Hong Kong International,HKG,2026-08-16T19:25:00+00:00,landed
CA104,Cathay Pacific,Hong Kong International,HKG,2026-08-16T12:50:00+00:00,Tianjin Binhai International,TSN,2026-08-16T16:15:00+00:00,landed
CA103,Air China,Tianjin Binhai International,TSN,2026-08-16T08:15:00+00:00,Hong Kong International,HKG,2026-08-16T11:50:00+00:00,landed
AK236,AirAsia,Don Muang,DMK,2026-08-16T23:45:00+00:00,Fukuoka,FUK,2026-08-17T07:05:00+00:00,scheduled
AK237,AirAsia,Kota-Kinabalu International Airport,BKI,2026-08-16T09:30:00+00:00,Hong Kong International,HKG,2026-08-16T12:25:00+00:00,landed
UO790,HK express,Hong Kong International,HKG,2026-08-16T21:25:00+00:00,Kota-Kinabalu International Airport,BKI,2026-08-17T00:30:00+00:00,active
UO791,HK express,Kota-Kinabalu International Airport,BKI,2026-08-17T01:15:00+00:00,Hong Kong International,HKG,2026-08-17T04:25:00+00:00,scheduled
CA412,Shenzhen Airlines,Hong Kong International,HKG,2026-08-16T13:20:00+00:00,Chengdu Tianfu International Airport,TFU,2026-08-16T16:05:00+00:00,landed
CA411,Shenzhen Airlines,Chengdu Tianfu International Airport,TFU,2026-08-16T09:10:00+00:00,Hong Kong International,HKG,2026-08-16T11:50:00+00:00,landed
TV9702,Kunming Airlines,Chengdu Tianfu International Airport,TFU,2026-08-16T20:20:00+00:00,Gonggar/Lhasa,LXA,2026-08-16T22:40:00+00:00,active
CX928,Air China,Hong Kong International,HKG,2026-08-16T13:35:00+00:00,Chongqing Jiangbei International,CKG,2026-08-16T16:10:00+00:00,active
CX945,Air China,Chongqing Jiangbei International,CKG,2026-08-16T17:25:00+00:00,Hong Kong International,HKG,2026-08-16T19:55:00+00:00,landed
CA420,Air China,Hong Kong International,HKG,2026-08-16T14:50:00+00:00,Chongqing Jiangbei International,CKG,2026-08-16T17:25:00+00:00,active
CA419,Cathay Pacific,Chongqing Jiangbei International,CKG,2026-08-16T11:20:00+00:00,Hong Kong International,HKG,2026-08-16T13:50:00+00:00,landed
HX496,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T20:55:00+00:00,Chongqing Jiangbei International,CKG,2026-08-16T23:30:00+00:00,active
HX497,Hainan Airlines,Chongqing Jiangbei International,CKG,2026-08-16T08:50:00+00:00,Hong Kong International,HKG,2026-08-16T11:10:00+00:00,landed
SC1152,Air China,Hong Kong International,HKG,2026-08-16T13:40:00+00:00,Jinan,TNA,2026-08-16T16:30:00+00:00,landed
SC1151,Air China,Jinan,TNA,2026-08-16T09:30:00+00:00,Hong Kong International,HKG,2026-08-16T12:40:00+00:00,landed
HB510,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T14:20:00+00:00,Malé International Airport,MLE,2026-08-16T17:40:00+00:00,active
HB511,Greater Bay Airlines,Malé International Airport,MLE,2026-08-16T19:45:00+00:00,Hong Kong International,HKG,2026-08-17T05:35:00+00:00,scheduled
HX791,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T15:10:00+00:00,Malé International Airport,MLE,2026-08-16T18:35:00+00:00,active
