Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
CX 979,CPA,Xiamen Gaoqi International Airport (XMN),Hong Kong International Airport (HKG),1hr 45mins
CX 342,CPA,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
CX 328,CPA,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
CX 349,CPA,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
CX 327,CPA,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
CX 346,CPA,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
CX 341,CPA,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
MU 722,CES,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
MU 5018,CES,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
MU 721,CES,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
MU 5017,CES,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
HX 248,CRK,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
HX 238,CRK,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
HX 249,CRK,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
HX 239,CRK,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
FM 810,CSH,Hong Kong International Airport (HKG),Shanghai Hongqiao International Airport (SHA),2hr 30mins
FM 809,CSH,Shanghai Hongqiao International Airport (SHA),Hong Kong International Airport (HKG),2hr 45mins
CX 986,CPA,Hong Kong International Airport (HKG),Chengdu Shuangliu International Airport (CTU),2hr 35mins
CX 916,CPA,Hong Kong International Airport (HKG),Chengdu Shuangliu International Airport (CTU),2hr 35mins
CX 917,CPA,Chengdu Shuangliu International Airport (CTU),Hong Kong International Airport (HKG),3hr 0mins
CX 987,CPA,Chengdu Shuangliu International Airport (CTU),Hong Kong International Airport (HKG),3hr 0mins
HX 452,CRK,Hong Kong International Airport (HKG),Chengdu Shuangliu International Airport (CTU),2hr 35mins
HX 453,CRK,Chengdu Shuangliu International Airport (CTU),Hong Kong International Airport (HKG),3hr 0mins
CA 428,CCA,Hong Kong International Airport (HKG),Chengdu Shuangliu International Airport (CTU),2hr 35mins
CA 427,CCA,Chengdu Shuangliu International Airport (CTU),Hong Kong International Airport (HKG),3hr 0mins
3U 3960,CSC,Hong Kong International Airport (HKG),Chengdu Shuangliu International Airport (CTU),2hr 35mins
3U 3959,CSC,Chengdu Shuangliu International Airport (CTU),Hong Kong International Airport (HKG),3hr 0mins
UO 642,HKE,Hong Kong International Airport (HKG),Takamatsu Airport (TAK),4hr 45mins
UO 643,HKE,Takamatsu Airport (TAK),Hong Kong International Airport (HKG),2hr 55mins
CX 536,CPA,Hong Kong International Airport (HKG),Chubu Centrair International Airport (NGO),4hr 55mins
CX 532,CPA,Hong Kong International Airport (HKG),Chubu Centrair International Airport (NGO),4hr 55mins
CX 563,CPA,Chubu Centrair International Airport (NGO),Hong Kong International Airport (HKG),3hr 25mins
CX 539,CPA,Chubu Centrair International Airport (NGO),Hong Kong International Airport (HKG),3hr 25mins
CX 531,CPA,Chubu Centrair International Airport (NGO),Hong Kong International Airport (HKG),3hr 25mins
UO 690,HKE,Hong Kong International Airport (HKG),Chubu Centrair International Airport (NGO),4hr 55mins
UO 670,HKE,Hong Kong International Airport (HKG),Chubu Centrair International Airport (NGO),4hr 55mins
UO 671,HKE,Chubu Centrair International Airport (NGO),Hong Kong International Airport (HKG),3hr 25mins
UO 691,HKE,Chubu Centrair International Airport (NGO),Hong Kong International Airport (HKG),3hr 25mins
HU 706,CHH,Hong Kong International Airport (HKG),Haikou Meilan International Airport (HAK),1hr 25mins
HU 720,CHH,Hong Kong International Airport (HKG),Haikou Meilan International Airport (HAK),1hr 25mins
HU 705,CHH,Haikou Meilan International Airport (HAK),Hong Kong International Airport (HKG),1hr 30mins
HU 719,CHH,Haikou Meilan International Airport (HAK),Hong Kong International Airport (HKG),1hr 30mins
CX 310,CPA,Hong Kong International Airport (HKG),Haikou Meilan International Airport (HAK),1hr 25mins
CX 313,CPA,Haikou Meilan International Airport (HAK),Hong Kong International Airport (HKG),1hr 30mins
CX 954,CPA,Hong Kong International Airport (HKG),Qingdao Jiaodong International Airport (TAO),3hr 15mins
CX 951,CPA,Qingdao Jiaodong International Airport (TAO),Hong Kong International Airport (HKG),3hr 30mins
SC 4632,CDG,Hong Kong International Airport (HKG),Qingdao Jiaodong International Airport (TAO),3hr 15mins
SC 4631,CDG,Qingdao Jiaodong International Airport (TAO),Hong Kong International Airport (HKG),3hr 30mins
QW 916,QDA,Hong Kong International Airport (HKG),Qingdao Jiaodong International Airport (TAO),3hr 15mins
QW 915,QDA,Qingdao Jiaodong International Airport (TAO),Hong Kong International Airport (HKG),3hr 30mins
CX 356,CPA,Hong Kong International Airport (HKG),Nanjing Lukou Airport (NKG),2hr 35mins
CX 304,CPA,Hong Kong International Airport (HKG),Nanjing Lukou Airport (NKG),2hr 35mins
CX 305,CPA,Nanjing Lukou Airport (NKG),Hong Kong International Airport (HKG),2hr 45mins
CX 357,CPA,Nanjing Lukou Airport (NKG),Hong Kong International Airport (HKG),2hr 45mins
MU 766,CES,Hong Kong International Airport (HKG),Nanjing Lukou Airport (NKG),2hr 35mins
MU 765,CES,Nanjing Lukou Airport (NKG),Hong Kong International Airport (HKG),2hr 45mins
HX 216,CRK,Hong Kong International Airport (HKG),Nanjing Lukou Airport (NKG),2hr 35mins
HX 217,CRK,Nanjing Lukou Airport (NKG),Hong Kong International Airport (HKG),2hr 45mins
CX 828,CPA,Hong Kong International Airport (HKG),Lester B. Pearson International Airport (YYZ),3hr 0mins
CX 826,CPA,Hong Kong International Airport (HKG),Lester B. Pearson International Airport (YYZ),3hr 0mins
CX 829,CPA,Lester B. Pearson International Airport (YYZ),Hong Kong International Airport (HKG),27hr 10mins
CX 821,CPA,Lester B. Pearson International Airport (YYZ),Hong Kong International Airport (HKG),27hr 10mins
CX 805,CPA,Lester B. Pearson International Airport (YYZ),Hong Kong International Airport (HKG),27hr 10mins
CX 820,CPA,Hong Kong International Airport (HKG),Lester B. Pearson International Airport (YYZ),3hr 0mins
CX 956,CPA,Hong Kong International Airport (HKG),Ningbo Lishe International Airport (NGB),2hr 20mins
CX 955,CPA,Ningbo Lishe International Airport (NGB),Hong Kong International Airport (HKG),2hr 25mins
MU 2090,CES,Hong Kong International Airport (HKG),Ningbo Lishe International Airport (NGB),2hr 20mins
MU 2089,CES,Ningbo Lishe International Airport (NGB),Hong Kong International Airport (HKG),2hr 25mins
MU 834,CES,Hong Kong International Airport (HKG),Ningbo Lishe International Airport (NGB),2hr 20mins
MU 833,CES,Ningbo Lishe International Airport (NGB),Hong Kong International Airport (HKG),2hr 25mins
UO 226D,HKE,Hong Kong International Airport (HKG),Ningbo Lishe International Airport (NGB),2hr 20mins
UO 227,HKE,Ningbo Lishe International Airport (NGB),Hong Kong International Airport (HKG),2hr 25mins
UO 226,HKE,Hong Kong International Airport (HKG),Ningbo Lishe International Airport (NGB),2hr 20mins
CX 946,CPA,Hong Kong International Airport (HKG),Xi'an Xianyang International Airport (XIY),3hr 20mins
CX 942,CPA,Hong Kong International Airport (HKG),Xi'an Xianyang International Airport (XIY),3hr 20mins
CX 933,CPA,Xi'an Xianyang International Airport (XIY),Hong Kong International Airport (HKG),3hr 15mins
CX 947,CPA,Xi'an Xianyang International Airport (XIY),Hong Kong International Airport (HKG),3hr 15mins
MU 204,CES,Hong Kong International Airport (HKG),Xi'an Xianyang International Airport (XIY),3hr 20mins
MU 203,CES,Xi'an Xianyang International Airport (XIY),Hong Kong International Airport (HKG),3hr 15mins
MU 7482,CES,Hong Kong International Airport (HKG),Xi'an Xianyang International Airport (XIY),3hr 20mins
MU 7481,CES,Xi'an Xianyang International Airport (XIY),Hong Kong International Airport (HKG),3hr 15mins
MU 6096,CES,Hong Kong International Airport (HKG),Xi'an Xianyang International Airport (XIY),3hr 20mins
MU 9624,CES,Hong Kong International Airport (HKG),Kunming Wujiaba International Airport (KMG),2hr 30mins
MU 734,CES,Hong Kong International Airport (HKG),Kunming Wujiaba International Airport (KMG),2hr 30mins
MU 9658,CES,Hong Kong International Airport (HKG),Kunming Wujiaba International Airport (KMG),2hr 30mins
MU 9623,CES,Kunming Wujiaba International Airport (KMG),Hong Kong International Airport (HKG),2hr 20mins
MU 733,CES,Kunming Wujiaba International Airport (KMG),Hong Kong International Airport (HKG),2hr 20mins
MU 9657,CES,Kunming Wujiaba International Airport (KMG),Hong Kong International Airport (HKG),2hr 20mins
SU 213,AFL,Hong Kong International Airport (HKG),Sheremetyevo International Airport (SVO),10hr 45mins
SU 212,AFL,Sheremetyevo International Airport (SVO),Hong Kong International Airport (HKG),9hr 45mins
UO 746,HKE,Hong Kong International Airport (HKG),Penang International Airport (PEN),3hr 45mins
UO 768,HKE,Hong Kong International Airport (HKG),Penang International Airport (PEN),3hr 45mins
UO 769,HKE,Penang International Airport (PEN),Hong Kong International Airport (HKG),3hr 55mins
UO 747,HKE,Penang International Airport (PEN),Hong Kong International Airport (HKG),3hr 55mins
CX 633,CPA,Hong Kong International Airport (HKG),Penang International Airport (PEN),3hr 45mins
CX 622,CPA,Penang International Airport (PEN),Hong Kong International Airport (HKG),3hr 55mins
CX 634,CPA,Penang International Airport (PEN),Hong Kong International Airport (HKG),3hr 55mins
CX 621,CPA,Hong Kong International Airport (HKG),Penang International Airport (PEN),3hr 45mins
OM 298,MGL,Hong Kong International Airport (HKG),Chinggis Khaan International Airport (UBN),4hr 40mins
OM 297,MGL,Chinggis Khaan International Airport (UBN),Hong Kong International Airport (HKG),4hr 35mins
OM 2972,MGL,Hong Kong International Airport (HKG),Chinggis Khaan International Airport (UBN),4hr 40mins
OM 2971,MGL,Chinggis Khaan International Airport (UBN),Hong Kong International Airport (HKG),4hr 35mins
CX 806,CPA,Hong Kong International Airport (HKG),Chicago O'Hare International Airport (ORD),2hr 10mins
CX 801,CPA,Chicago O'Hare International Airport (ORD),Hong Kong International Airport (HKG),29hr 0mins
MU 6098,CES,Hong Kong International Airport (HKG),Lanzhou Zhongchuan Airport (LHW),3hr 35mins
MU 6097,CES,Lanzhou Zhongchuan Airport (LHW),Hong Kong International Airport (HKG),3hr 35mins
HX 2507,CRK,Hong Kong International Airport (HKG),Lanzhou Zhongchuan Airport (LHW),3hr 35mins
HX 2508,CRK,Lanzhou Zhongchuan Airport (LHW),Hong Kong International Airport (HKG),3hr 35mins
ZH 9096,CSZ,Hong Kong International Airport (HKG),Sunan Shuofang International Airport (WUX),2hr 30mins
ZH 9095,CSZ,Sunan Shuofang International Airport (WUX),Hong Kong International Airport (HKG),2hr 45mins
UO 214,HKE,Hong Kong International Airport (HKG),Sunan Shuofang International Airport (WUX),2hr 30mins
UO 215,HKE,Sunan Shuofang International Airport (WUX),Hong Kong International Airport (HKG),2hr 45mins
HX 463,CRK,Hong Kong International Airport (HKG),Dongshan Airport (HLD),4hr 40mins
HX 462,CRK,Dongshan Airport (HLD),Hong Kong International Airport (HKG),5hr 0mins
MU 6086,CES,Hong Kong International Airport (HKG),Taiyuan Wusu Airport (TYN),3hr 0mins
MU 6085,CES,Taiyuan Wusu Airport (TYN),Hong Kong International Airport (HKG),3hr 0mins
CX 952,CPA,Hong Kong International Airport (HKG),Xinzheng Airport (CGO),2hr 35mins
CX 957,CPA,Xinzheng Airport (CGO),Hong Kong International Airport (HKG),2hr 55mins
CA 104,CCA,Hong Kong International Airport (HKG),Tianjin Binhai International Airport (TSN),3hr 25mins
CA 103,CCA,Tianjin Binhai International Airport (TSN),Hong Kong International Airport (HKG),3hr 35mins
AK 236,AXM,Hong Kong International Airport (HKG),Kota Kinabalu International Airport (BKI),2hr 50mins
AK 237,AXM,Kota Kinabalu International Airport (BKI),Hong Kong International Airport (HKG),2hr 55mins
UO 790,HKE,Hong Kong International Airport (HKG),Kota Kinabalu International Airport (BKI),2hr 50mins
UO 791,HKE,Kota Kinabalu International Airport (BKI),Hong Kong International Airport (HKG),2hr 55mins
CA 412,CCA,Hong Kong International Airport (HKG),Chengdu Tianfu International Airport (TFU),2hr 45mins
CA 411,CCA,Chengdu Tianfu International Airport (TFU),Hong Kong International Airport (HKG),2hr 40mins
TV 9702,TBA,Hong Kong International Airport (HKG),Chengdu Tianfu International Airport (TFU),2hr 45mins
CX 928,CPA,Hong Kong International Airport (HKG),Chongqing Jiangbei International Airport (CKG),2hr 35mins
CX 945,CPA,Chongqing Jiangbei International Airport (CKG),Hong Kong International Airport (HKG),2hr 30mins
CA 420,CCA,Hong Kong International Airport (HKG),Chongqing Jiangbei International Airport (CKG),2hr 35mins
CA 419,CCA,Chongqing Jiangbei International Airport (CKG),Hong Kong International Airport (HKG),2hr 30mins
HX 496,CRK,Hong Kong International Airport (HKG),Chongqing Jiangbei International Airport (CKG),2hr 35mins
HX 497,CRK,Chongqing Jiangbei International Airport (CKG),Hong Kong International Airport (HKG),2hr 30mins
SC 1152,CDG,Hong Kong International Airport (HKG),Yaoqiang Airport (TNA),2hr 50mins
SC 1151,CDG,Yaoqiang Airport (TNA),Hong Kong International Airport (HKG),3hr 10mins
HB 510,HGB,Hong Kong International Airport (HKG),Male International Airport (MLE),3hr 20mins
HB 511,HGB,Male International Airport (MLE),Hong Kong International Airport (HKG),9hr 50mins
HX 791,CRK,Hong Kong International Airport (HKG),Male International Airport (MLE),3hr 20mins
HX 792,CRK,Male International Airport (MLE),Hong Kong International Airport (HKG),9hr 50mins
SL 361,TLM,Hong Kong International Airport (HKG),Don Mueang International Airport (DMK),1hr 45mins
SL 360,TLM,Don Mueang International Airport (DMK),Hong Kong International Airport (HKG),3hr 45mins
HB 8235,HGB,Hong Kong International Airport (HKG),Babelthuap Airport (ROR),4hr 15mins
HB 8236,HGB,Babelthuap Airport (ROR),Hong Kong International Airport (HKG),4hr 15mins
HX 2725,CRK,Hong Kong International Airport (HKG),Babelthuap Airport (ROR),4hr 15mins
HX 2726,CRK,Babelthuap Airport (ROR),Hong Kong International Airport (HKG),4hr 15mins
CX 629,CPA,Hong Kong International Airport (HKG),Juanda International Airport (SUB),3hr 45mins
CX 780,CPA,Juanda International Airport (SUB),Hong Kong International Airport (HKG),6hr 0mins
BI 636,RBA,Hong Kong International Airport (HKG),Brunei International Airport (BWN),3hr 0mins
BI 635,RBA,Brunei International Airport (BWN),Hong Kong International Airport (HKG),3hr 10mins
CX 171,CPA,Hong Kong International Airport (HKG),Perth International Airport (PER),7hr 40mins
CX 143,CPA,Hong Kong International Airport (HKG),Perth International Airport (PER),7hr 40mins
CX 170,CPA,Perth International Airport (PER),Hong Kong International Airport (HKG),7hr 55mins
CX 184,CPA,Perth International Airport (PER),Hong Kong International Airport (HKG),7hr 55mins
CX 876,CPA,Hong Kong International Airport (HKG),Dallas Fort Worth International Airport (DFW),2hr 20mins
CX 875,CPA,Dallas Fort Worth International Airport (DFW),Hong Kong International Airport (HKG),29hr 10mins
FJ 392,FJI,Hong Kong International Airport (HKG),Nadi International Airport (NAN),14hr 10mins
FJ 393,FJI,Nadi International Airport (NAN),Hong Kong International Airport (HKG),6hr 30mins
HB 538,HGB,Hong Kong International Airport (HKG),Enshi Airport (ENH),2hr 45mins
HB 539,HGB,Enshi Airport (ENH),Hong Kong International Airport (HKG),2hr 45mins
CZ 604,CSN,Hong Kong International Airport (HKG),Urumqi Diwopu International Airport (URC),5hr 30mins
CZ 603,CSN,Urumqi Diwopu International Airport (URC),Hong Kong International Airport (HKG),5hr 20mins
CX 998,CPA,Hong Kong International Airport (HKG),Urumqi Diwopu International Airport (URC),5hr 30mins
CX 997,CPA,Urumqi Diwopu International Airport (URC),Hong Kong International Airport (HKG),5hr 20mins
HX 412,CRK,Hong Kong International Airport (HKG),Lijiang Airport (LJG),2hr 55mins
HX 413,CRK,Lijiang Airport (LJG),Hong Kong International Airport (HKG),3hr 15mins
PG 806,BKP,Hong Kong International Airport (HKG),Samui Airport (USM),2hr 20mins
PG 807,BKP,Samui Airport (USM),Hong Kong International Airport (HKG),4hr 25mins
CX 663,CPA,Hong Kong International Airport (HKG),Chhatrapati Shivaji International Airport (BOM),3hr 45mins
CX 696,CPA,Chhatrapati Shivaji International Airport (BOM),Hong Kong International Airport (HKG),8hr 30mins
CX 660,CPA,Chhatrapati Shivaji International Airport (BOM),Hong Kong International Airport (HKG),8hr 30mins
CX 683,CPA,Hong Kong International Airport (HKG),Chhatrapati Shivaji International Airport (BOM),3hr 45mins
UO 272,HKE,Hong Kong International Airport (HKG),Changzhou Airport (CZX),2hr 30mins
UO 273,HKE,Changzhou Airport (CZX),Hong Kong International Airport (HKG),2hr 35mins
HB 872,HGB,Hong Kong International Airport (HKG),Dayong Airport (DYG),1hr 50mins
HB 873,HGB,Dayong Airport (DYG),Hong Kong International Airport (HKG),1hr 55mins
MU 2068,CES,Hong Kong International Airport (HKG),Hefei Xinqiao International Airport (HFE),2hr 20mins
MU 2067,CES,Hefei Xinqiao International Airport (HFE),Hong Kong International Airport (HKG),2hr 30mins
CX 603,CPA,Hong Kong International Airport (HKG),Tribhuvan International Airport (KTM),2hr 50mins
CX 640,CPA,Tribhuvan International Airport (KTM),Hong Kong International Airport (HKG),7hr 0mins
ZH 8042,CSZ,Hong Kong International Airport (HKG),Nanning Wuxu Airport (NNG),1hr 45mins
ZH 8041,CSZ,Nanning Wuxu Airport (NNG),Hong Kong International Airport (HKG),1hr 50mins
CX 812,CPA,Hong Kong International Airport (HKG),General Edward Lawrence Logan International Airport (BOS),3hr 55mins
CX 811,CPA,General Edward Lawrence Logan International Airport (BOS),Hong Kong International Airport (HKG),27hr 15mins
NZ 080,ANZ,Hong Kong International Airport (HKG),Auckland International Airport (AKL),10hr 35mins
NZ 081,ANZ,Auckland International Airport (AKL),Hong Kong International Airport (HKG),11hr 20mins
CX 113,CPA,Hong Kong International Airport (HKG),Auckland International Airport (AKL),14hr 40mins
CX 198,CPA,Auckland International Airport (AKL),Hong Kong International Airport (HKG),7hr 40mins
EY 871,ETD,Hong Kong International Airport (HKG),Abu Dhabi International Airport (AUH),4hr 15mins
EY 870,ETD,Abu Dhabi International Airport (AUH),Hong Kong International Airport (HKG),11hr 50mins
PX 019,ANG,Hong Kong International Airport (HKG),Port Moresby Jacksons International Airport (POM),6hr 45mins
PX 008,ANG,Port Moresby Jacksons International Airport (POM),Hong Kong International Airport (HKG),6hr 35mins
CX 611,CPA,Hong Kong International Airport (HKG),Bandaranaike International Colombo Airport (CMB),2hr 55mins
CX 612,CPA,Bandaranaike International Colombo Airport (CMB),Hong Kong International Airport (HKG),8hr 20mins
CX 651,CPA,Hong Kong International Airport (HKG),Chennai International Airport (MAA),3hr 0mins
CX 632,CPA,Chennai International Airport (MAA),Hong Kong International Airport (HKG),8hr 20mins
AY 100,FIN,Hong Kong International Airport (HKG),Helsinki Vantaa Airport (HEL),8hr 40mins
AY 099,FIN,Helsinki Vantaa Airport (HEL),Hong Kong International Airport (HKG),12hr 5mins
CX 623,CPA,Hong Kong International Airport (HKG),Bengaluru International Airport (BLR),3hr 15mins
CX 624,CPA,Bengaluru International Airport (BLR),Hong Kong International Airport (HKG),8hr 35mins
KL 888,KLM,Hong Kong International Airport (HKG),Amsterdam Airport Schiphol (AMS),7hr 45mins
KL 887,KLM,Amsterdam Airport Schiphol (AMS),Hong Kong International Airport (HKG),18hr 0mins
CX 271,CPA,Hong Kong International Airport (HKG),Amsterdam Airport Schiphol (AMS),7hr 45mins
CX 270,CPA,Amsterdam Airport Schiphol (AMS),Hong Kong International Airport (HKG),18hr 0mins
CX 673,CPA,Hong Kong International Airport (HKG),Rajiv Gandhi International Airport Shamshabad (HYD),3hr 5mins
CX 672,CPA,Rajiv Gandhi International Airport Shamshabad (HYD),Hong Kong International Airport (HKG),8hr 20mins
LH 797,DLH,Hong Kong International Airport (HKG),Frankfurt am Main International Airport (FRA),6hr 55mins
LH 796,DLH,Frankfurt am Main International Airport (FRA),Hong Kong International Airport (HKG),17hr 40mins
CX 289,CPA,Hong Kong International Airport (HKG),Frankfurt am Main International Airport (FRA),6hr 55mins
CX 288,CPA,Frankfurt am Main International Airport (FRA),Hong Kong International Airport (HKG),17hr 40mins
HX 072,CRK,Hong Kong International Airport (HKG),Francisco C. Ada Saipan International Airport (SPN),5hr 0mins
HX 073,CRK,Francisco C. Ada Saipan International Airport (SPN),Hong Kong International Airport (HKG),5hr 10mins
CX 294,CPA,Brussels Airport (BRU),Hong Kong International Airport (HKG),17hr 30mins
CX 275,CPA,Hong Kong International Airport (HKG),Brussels Airport (BRU),7hr 40mins
CX 300,CPA,Munich International Airport (MUC),Hong Kong International Airport (HKG),17hr 0mins
CX 301,CPA,Hong Kong International Airport (HKG),Munich International Airport (MUC),7hr 5mins
DE 9545,CFG,Hong Kong International Airport (HKG),Munich International Airport (MUC),7hr 5mins
CX 321,CPA,Hong Kong International Airport (HKG),Barcelona International Airport (BCN),7hr 50mins
CX 318,CPA,Barcelona International Airport (BCN),Hong Kong International Airport (HKG),18hr 0mins
CX 662,CPA,Dhaka / Hazrat Shahjalal International Airport (DAC),Hong Kong International Airport (HKG),6hr 0mins
CX 667,CPA,Hong Kong International Airport (HKG),Dhaka / Hazrat Shahjalal International Airport (DAC),2hr 5mins
CX 853,CPA,Seattle Tacoma International Airport (SEA),Hong Kong International Airport (HKG),28hr 20mins
CX 852,CPA,Hong Kong International Airport (HKG),Seattle Tacoma International Airport (SEA),-4hr 55mins
UO 858,HKE,Hong Kong International Airport (HKG),Ishigaki Airport (ISG),3hr 0mins
UO 879,HKE,Ishigaki Airport (ISG),Hong Kong International Airport (HKG),1hr 15mins
HB 866,HGB,Hong Kong International Airport (HKG),Zhoushan Airport (HSN),2hr 15mins
HB 867,HGB,Zhoushan Airport (HSN),Hong Kong International Airport (HKG),2hr 35mins
UO 804,HKE,Hong Kong International Airport (HKG),Komatsu Airport (KMQ),5hr 0mins
UO 805,HKE,Komatsu Airport (KMQ),Hong Kong International Airport (HKG),3hr 20mins
UO 212,HKE,Hong Kong International Airport (HKG),Yiwu Airport (YIW),2hr 10mins
UO 213,HKE,Yiwu Airport (YIW),Hong Kong International Airport (HKG),2hr 10mins
HB 932,HGB,Hong Kong International Airport (HKG),Datong Airport (DAT),3hr 20mins
HB 933,HGB,Datong Airport (DAT),Hong Kong International Airport (HKG),3hr 30mins
CZ 6048,CSN,Hong Kong International Airport (HKG),Taiping Airport (HRB),4hr 50mins
CZ 6047,CSN,Taiping Airport (HRB),Hong Kong International Airport (HKG),4hr 55mins
HB 850,HGB,Hong Kong International Airport (HKG),Yichang Airport (YIH),2hr 25mins
HB 851,HGB,Yichang Airport (YIH),Hong Kong International Airport (HKG),2hr 25mins
TV 6120,TBA,Hong Kong International Airport (HKG),Yuncheng Guangong Airport (YCU),3hr 0mins
TV 6119,TBA,Yuncheng Guangong Airport (YCU),Hong Kong International Airport (HKG),2hr 25mins
HB 838,HGB,Hong Kong International Airport (HKG),Guilin Liangjiang International Airport (KWL),1hr 40mins
HB 839,HGB,Guilin Liangjiang International Airport (KWL),Hong Kong International Airport (HKG),1hr 40mins
TV 9701,TBA,Lhasa Gonggar Airport (LXA),Hong Kong International Airport (HKG),2hr 30mins
HU 7916,CHH,Hong Kong International Airport (HKG),Longjia Airport (CGQ),4hr 20mins
HU 7915,CHH,Longjia Airport (CGQ),Hong Kong International Airport (HKG),4hr 40mins
HX 2502,CRK,Hong Kong International Airport (HKG),Xining Caojiabu Airport (XNN),3hr 50mins
HX 2503,CRK,Xining Caojiabu Airport (XNN),Hong Kong International Airport (HKG),6hr 5mins
MU 6095,CES,Xining Caojiabu Airport (XNN),Hong Kong International Airport (HKG),3hr 5mins
MF 8692,CXA,Hong Kong International Airport (HKG),Yinchuan Airport (INC),3hr 20mins
MF 8691,CXA,Yinchuan Airport (INC),Hong Kong International Airport (HKG),3hr 25mins
CX 342R,CPA,Hong Kong International Airport (HKG),Chek Lap Kok International Airport (HKG),1hr 30mins
NS 3690,HBH,Hong Kong International Airport (HKG),Shijiazhuang Daguocun International Airport (SJW),3hr 0mins
NS 3689,HBH,Shijiazhuang Daguocun International Airport (SJW),Hong Kong International Airport (HKG),3hr 10mins
