Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
CX 913,CPA,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
CX 939,CPA,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
CX 974,CPA,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
CX 912,CPA,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
CX 906,CPA,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
CX 930,CPA,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
CX 918,CPA,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
CX 902,CPA,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
5J 273,CEB,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
5J 143,CEB,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
5J 272,CEB,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
5J 142,CEB,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
PR 319,PAL,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
PR 307,PAL,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
PR 311,PAL,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
PR 318,PAL,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
PR 306,PAL,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
PR 310,PAL,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
UO 534,HKE,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
UO 517,HKE,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
UO 535,HKE,Ninoy Aquino International Airport (MNL),Hong Kong International Airport (HKG),2hr 35mins
UO 516,HKE,Hong Kong International Airport (HKG),Ninoy Aquino International Airport (MNL),2hr 30mins
CX 334,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CX 390,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CX 332,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CX 392,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CX 336,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CX 312,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CX 344,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CX 340,CPA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
